"Enabled","Class","Name","Description","Version","WordPress","PHP","Dependencies","URI","Text Domain"
"true","Configurator\Modules\Emails_Privacy_Export","Emails Privacy Export","Disables confirmation emails for personal data export and removes the related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-emails-privacy-export.php","—"
"true","Configurator\Modules\Emails_Verification","Emails Verification","Removes the requirement to verify email changes across all roles.","0.0.1","6.9","8.4.11","\DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-emails-verification.php","—"
"true","Configurator\Modules\Emojis","Emojis","Removes the default emoji scripts and styles from all pages and buttom from the classic editor.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-emojis.php","—"
"true","Configurator\Modules\Feeds","Feeds","Removes default feed &lt;link&gt;'s from &lt;head&gt; and sets their endpoints to HTTP code 403.","0.0.1","6.9","8.4.11","Configurator\Helpers\HTTP_Status_Codes","https://github.com/thefarside/configurator/tree/main/examples/modules/class-feeds.php","—"
"true","Configurator\Modules\Footer_Credit","Footer Credit","Removes ""Thank you for creating with WordPress."" from the bottom of admin pages.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-footer-credit.php","—"
"true","Configurator\Modules\Footer_Version","Footer Version","Removes ""Version X.X"" from the bottom of admin pages.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-footer-version.php","—"
"true","Configurator\Modules\Full_Name_User_Columns","Full Name User Columns","Replaces the ""name"" column with ""first name"" and ""last name"" columns on the All Users admin page.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-full-name-user-columns.php","—"
"true","Configurator\Modules\Gdpr_Erase_Template","GDPR Erase Template","Example plugin that templates how to hook into GDPR Erase.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-gdpr-erase-template.php","—"
"true","Configurator\Modules\Gdpr_Erase","GDPR Erase","Sets GDPR Erase to purge the default user data from the database.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-gdpr-erase.php","—"
"true","Configurator\Modules\Gdpr_Export_Template","GDPR Export Template","Example plugin that templates how to hook into GDPR Export.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-gdpr-export-template.php","—"
"true","Configurator\Modules\Gdpr_Export","GDPR Export","Adds user locale and access level information to GDPR export.","0.0.1","6.9","8.4.11","\WP_User","https://github.com/thefarside/configurator/tree/main/examples/modules/class-gdpr-export.php","—"
"true","Configurator\Modules\Generator_Link","Generator Link","Removes &lt;meta name=""generator""&gt; from &lt;head&gt;.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-generator-link.php","—"
"true","Configurator\Modules\Gutenberg_Editor","Gutenberg Editor","Completely disables Gutenberg/FSE.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-gutenberg-editor.php","—"
"true","Configurator\Modules\Head","Head","Facilitates adding entries to &lt;head&gt; site wide or by page.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-head.php","—"
"true","Configurator\Modules\Heartbeat","Heartbeat","Disables the WordPress heartbeat.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-heartbeat.php","—"
"true","Configurator\Modules\Help_Tab","Help Tab","Removes the ""help"" tab from admin area pages.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-help-tab.php","—"
"true","Configurator\Modules\Http_Headers","HTTP Headers","Facilitates complete filtering of request headers including cookies.","0.0.1","6.9","8.4.11","\WpOrg\Requests\Cookie","https://github.com/thefarside/configurator/tree/main/examples/modules/class-http-headers.php","—"
"true","Configurator\Modules\Installs","Installs","Disables web installs.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-installs.php","—"
"true","Configurator\Modules\Lazy_Loading","Lazy Loading","Disables WordPress ""lazy loading"".","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-lazing-loading.php","—"
"true","Configurator\Modules\Mail_Tool","Mail Tool","Sets ""from"" for emails site wide and copies all emails to a log file, useful for development environments without mail servers.","0.0.1","6.9","8.4.11","\WP_Error","https://github.com/thefarside/configurator/tree/main/examples/modules/class-mail-tool.php","—"
"true","Configurator\Modules\Oembed","oEmbed","Removes all oEmbed &lt;link&gt;'s from &lt;head&gt;.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-oembed.php","—"
"true","Configurator\Modules\Open_Enrollment","Open Enrollment","Disables open enrollment and removes the related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-open-enrollment.php","—"
"true","Configurator\Modules\Page_Attributes","Page Attributes","Removes the ""Page Attributes"" meta box from the classic post editor.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-page-attributes.php","—"
"true","Configurator\Modules\Permalink_Base_Author_Custom","Permalink Base Author Custom","Change the default permalink base from ""author"" or remove it altogether.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-permalink-base-author-custom.php","—"
"true","Configurator\Modules\Permalink_Base_Category_Custom","Permalink Base Category Custom","Change the default permalink base from ""category"" or remove it altogether.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-permalink-base-category-custom.php","—"
"true","Configurator\Modules\Persistent_User_Meta","Persistent User Meta","Force all users to use specific settings, regardless of profile configuration.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-persistent-user-meta.php","—"
"true","Configurator\Modules\Posts","Posts","Disables the default post type ""Post"" and related features, removes all related GUI elements from within the admin area and purges any existing database entries.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument, \WP_Customize_Manager","https://github.com/thefarside/configurator/tree/main/examples/modules/class-posts.php","—"
"true","Configurator\Modules\Prefetch","Prefetch","Disables ""prefetch"" &lt;link&gt;'s sitewide.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-prefetch.php","—"
"true","Configurator\Modules\Profile_About","Profile About","Removes the ""About"" section from the user profile page.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-profile-about.php","—"
